site_name,transmission_catchment,catchment_confidence,rationale,matched_keyword,best_capacity_mw,technology,fuel,owner,owner_tier,phantom_risk,phantom_flags
Cross Roads Energy Solar Farm,DD,high,Darling Downs corridor (Dalby/Bell),Cross Roads,650.0,,Solar,Crossroads Energy Pty Ltd,tier_3,1,large_tier3
Cross Roads Energy Solar Farm - KCI,DD,high,Darling Downs corridor (Dalby/Bell),Cross Roads,650.0,Solar PV - Fixed,Solar - Solar, Crossroads Energy Pty Ltd,tier_3,1,large_tier3
Croydon Hybrid Facility - Solar And BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Croydon,500.0,Solar PV - Fixed,Solar - Solar,ACEnergy Pty Ltd,tier_2,0,
Daandine Power Station,WD,high,WD substation/Chinchilla corridor,Daandine,33.143,Reciprocating Engine - Compression ignition,Coal Seam Methane,APT Petroleum Pipeline Holdings Pty Ltd.,tier_3,0,
Dalby Solar Farm,DD,medium,DD region (Dalby corridor — judgement call),Dalby,30.001,Solar PV - Single axis tracking,Solar,Dalby Asset Trust,tier_3,2,stale_proposed_4plus_releases
Darling Downs,DD,high,Darling Downs corridor (Dalby/Bell),Darling Downs,364.5,Turbine - CCGT,Coal Seam Methane,Origin Energy Power Limited,tier_1,0,
Darling Downs BESS (APA),DD,high,Darling Downs corridor (Dalby/Bell),Darling Downs,200.0,Storage - Battery,Other - Other,APA Group,tier_1,0,
Darling Downs Battery,DD,high,Darling Downs corridor (Dalby/Bell),Darling Downs,500.0,Storage - Battery,Other,BORAL,tier_3,2,stale_proposed_4plus_releases
Darling Downs Power Station 2,DD,high,Darling Downs corridor (Dalby/Bell),Darling Downs,500.0,Turbine - OCGT,Geothermal - Other,Origin Energy,tier_1,0,
Darling Downs Solar Farm,DD,high,Darling Downs corridor (Dalby/Bell),Darling Downs,121.0,Solar PV - Fixed,Solar,Darling Downs Solar Farm Pty Ltd,tier_3,0,
Dawson Wind Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Dawson Wind,560.0,Wind Turbine - Onshore,Wind - Wind,Highland Energy Australia Pty Ltd,tier_2,0,
Daydream Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Daydream,167.75,Solar PV - Single axis tracking,Solar,The Daydream Solar Farm Trust,tier_3,0,
Dingo Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Dingo,85.0,Solar PV - Fixed,Solar,ESCO Pacific,tier_2,2,stale_proposed_4plus_releases
Dugald River Wind Faarm,FNQ,high,FNQ corridor (Townsville and north),Dugald River,144.0,Wind Turbine - Onshore,Wind - Wind,MMG,tier_3,0,
Dulacca Solar,DD,high,Darling Downs corridor (Dalby/Bell),Dulacca,96.99,Solar PV - Single axis tracking,Solar - Solar,juwi Renewable Energy Pty Ltd,tier_3,1,owner_junk:^[a-z]
Dulacca Solar Farm,DD,high,Darling Downs corridor (Dalby/Bell),Dulacca,84.0,Solar PV - Single axis tracking,Solar,juwi Renewable Energy Pty Ltd,tier_3,1,owner_junk:^[a-z]
Dulacca Wind Farm,DD,high,Darling Downs corridor (Dalby/Bell),Dulacca,240.0,Wind Turbine - Onshore,Wind,Dulacca Energy Project Co Pty Ltd,tier_3,0,
Dunblane Solar Farm,WD,high,WD substation/Chinchilla corridor,Dunblane,7.2,Solar PV - Fixed,Solar,Dunblane Solar Pty Ltd,tier_3,0,
Dunmore BESS,Unclassified,review,No rule matched — manual review needed,,226.8,Storage - Battery,Other - Other,Samsung C&T,tier_3,0,
Dunmore Solar Farm,Unclassified,review,No rule matched — manual review needed,,361.0,Solar PV - Single axis tracking,Solar - Solar,Samsung C&T,tier_3,0,
Dunmore Solar PV,Unclassified,review,No rule matched — manual review needed,,400.0,Solar PV - Single axis tracking,Solar - Solar,"Samsung C&T Renewable Energy Australia Pty, Ltd",tier_3,2,stale_proposed_4plus_releases
Dysart Solar Farm RED,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Dysart,100.0,Solar PV - Fixed,Solar,Tilt Renewables Australia Pty Ltd,tier_1,1,stale_proposed_4plus_releases
EIWA Bundaberg Solar Farm,WG,medium,Wide Bay region (judgement call),Bundaberg,78.0,Solar PV - Fixed,Solar,EIWA Bundaberg Solar Pty Ltd,tier_3,2,stale_proposed_4plus_releases
EIWA Gin Gin Renewable Energy Park,WG,medium,Wide Bay region (judgement call),EIWA,250.0,Storage - Battery,Solar - Solar,EIWA Gin Gin Renewable Energy Park Pty Ltd,tier_3,0,
EIWA Golden Fleece Renewable Energy Park,WG,medium,Wide Bay region (judgement call),EIWA,300.0,Storage - Battery,Solar - Solar,EIWA Golden Fleece Renewable Energy Park Pty Ltd,tier_3,0,
East End BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),East End,500.0,Storage - Battery,Other - Other,TE H2 Australia Pty Ltd,tier_1,0,
Edenvale Solar Park,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Edenvale,180.0,Solar PV - Single axis tracking,Solar,Edenvale Solar Park Pty Ltd,tier_3,0,
Elai Genesis Battery Storage System,Unclassified,review,No rule matched — manual review needed,,120.0,Storage - Battery,Other - Other,Elai Energy Pty Ltd,tier_3,0,
Emerald Solar Park,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Emerald,72.0,Solar PV - Single axis tracking,Solar,Lighthouse Infrastructure Management Limited,tier_3,0,
Eurimbula Hybrid Facility - Battery Storage,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Eurimbula,1000.0,Storage - Battery,Other - Other,unitedgreen_NR,tier_3,1,owner_junk:_NR$; owner_junk:^[a-z]; large_tier3
Eurimbula Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Eurimbula,607.75,Solar PV - Single axis tracking,Solar - Solar,Unitedgreen_NR,tier_3,2,stale_proposed_4plus_releases
FNQ BESS 1 (KCI),Unclassified,review,No rule matched — manual review needed,,250.0,Storage - Battery,Other - Other,Solquartz Holdings Pty Ltd,tier_3,0,
FNQ BESS 2 (KCI),Unclassified,review,No rule matched — manual review needed,,250.0,Storage - Battery,Other - Other,Solquartz Holdings Pty Ltd,tier_3,0,
FNQ BESS 3 (KCI),Unclassified,review,No rule matched — manual review needed,,250.0,Storage - Battery,Other - Other,Solquartz Holdings Pty Ltd,tier_3,0,
FPC Green Energy,Unclassified,review,No rule matched — manual review needed,,30.0,Turbine - Steam Sub Critical,Green and air dried wood, FPC 30 Limited as Trustee for FPC Green Fund Trust ,tier_3,0,
Fiery Creek Wind Farm,Unclassified,review,No rule matched — manual review needed,,200.0,Wind Turbine - Onshore,Wind - Wind,Tilt Renewables Australia Pty Ltd,tier_1,0,
Fletcher Creek Wind Farm & BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Fletcher Creek,400.0,Wind Turbine - Onshore,Wind - Wind,Private Energy Partners,tier_3,0,
Forest Wind,WG,high,Woolooga corridor (Gympie/Maryborough),Forest Wind,1200.0,Wind Turbine - Onshore,Wind - Wind,Forest Wind Holdings Pty Ltd,tier_3,1,large_tier3
Forsayth Wind Farm,FNQ,high,FNQ corridor (Townsville and north),Forsayth,165.0,Wind Turbine - Onshore,Wind,Forsayth Wind Farm Pty Ltd,tier_3,2,stale_proposed_4plus_releases
Fraser Coast Community Solar Farm,WG,medium,Wide Bay region (judgement call),Fraser Coast,0.401,Solar PV - Fixed,Solar,Wide Bay Water Corporation,tier_3,0,
Fraser Coast Hybrid Plant,WG,medium,Wide Bay region (judgement call),Fraser Coast,310.8,Solar PV - Single axis tracking,Solar - Solar,FRASER COAST SOLAR DEVELOPMENT PTY LTD,tier_3,0,
Fraser Coast Solar Park,WG,medium,Wide Bay region (judgement call),Fraser Coast,350.0,Solar PV - Single axis tracking,Solar,FRASER COAST SOLAR PARK PTY LTD,tier_3,2,stale_proposed_4plus_releases
GEP - QRNB1,CQ,high,CQ corridor (Callide/Gladstone/Isaac),GEP,1012.0,Wind Turbine - Offshore,Wind - Wind,GEP Developments Pty Ltd,tier_3,1,large_tier3
Gangarri Solar Farm,WD,high,WD substation/Chinchilla corridor,Gangarri,162.0,Solar PV - Single axis tracking,Solar,Shell New Energies Australia Pty Ltd,tier_3,0,
Ganymirra Solar Power Station,Unclassified,review,No rule matched — manual review needed,,150.0,Solar PV - Single axis tracking,Solar - Solar,Edify Energy Pty Ltd,tier_2,0,
Gawara Baya Wind And BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Gawara Baya,408.0,Wind Turbine - Onshore,Wind - Wind,UPPER BURDEKIN WIND FARM PTY LTD,tier_3,0,
Gawara Baya Wind Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Gawara Baya,408.0,Wind Turbine - Onshore,Wind - Wind,UPPER BURDEKIN WIND FARM PTY LTD,tier_3,0,
Gayndah Wind Farm,WG,high,Woolooga corridor (Gympie/Maryborough),Gayndah Wind,560.0,Wind Turbine - Onshore,Wind - Wind,Mainstream Renewable Power Australia Pty Ltd,tier_1,0,
German Creek,CQ,high,CQ corridor (Callide/Gladstone/Isaac),German Creek,31.81,Reciprocating Engine - Spark ignition,Fossil - Waste Coal Mine Gas,EDL CSM Qld Pty Ltd,tier_3,0,
Gin Gin BESS,WG,medium,Wide Bay region (judgement call),Gin Gin,345.6,Storage - Battery,Other - Other,Iberdrola Australia Development Pty Limited,tier_1,0,
Gladstone,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Gladstone,280.0,Turbine - Steam Sub Critical,Black Coal,Gladstone Power Station Participants,tier_3,0,
Glenroy Hybrid Facility - Solar And BESS,Unclassified,review,No rule matched — manual review needed,,1000.0,Solar PV - Fixed,Solar - Solar,M Renewables Australia Developments Pty Ltd,tier_2,0,
GoodNight Hybrid Facility - Solar And BESS,Unclassified,review,No rule matched — manual review needed,,200.0,Solar PV - Fixed,Solar - Solar,GoodNight One Pty Ltd,tier_3,0,
Goombi Renewable Energy Hub,WD,high,WD substation/Chinchilla corridor,Goombi,657.0,Wind Turbine - Onshore,Wind - Wind,Tag Energy Australia Pty Ltd,tier_2,0,
Green Poly BESS Project (KCI),Unclassified,review,No rule matched — manual review needed,,750.0,Storage - Battery,Other - Other,Solquartz Holdings Pty Ltd,tier_3,1,large_tier3
Greenbank BESS,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Greenbank,200.0,,Storage,CSE BESS Pty Ltd,tier_3,0,
Grosvenor 1,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Grosvenor,21.0,Reciprocating Engine - Spark ignition,Waste Coal Mine Gas,EDL Projects Australia Pty Ltd,tier_3,0,
Grosvenor 2 Waste Coal Mine Gas Power Station,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Grosvenor,15.21,Reciprocating Engine - Spark ignition,Fossil - Coal Seam Methane,EDL Projects Australia Pty Ltd,tier_3,2,stale_proposed_4plus_releases
Group Linen - Maryborough,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Group Linen,0.17,Solar PV - Fixed,Solar - Solar,Group Linen,tier_3,0,
Group Linen - Prince Charles,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Group Linen,0.33,Solar PV - Fixed,Solar,Group Linen,tier_3,0,
Gunsynd Solar Farm,SD,high,Southern Downs corridor (Karara/Warwick/Bulli Creek),Gunsynd,94.0,Solar PV - Fixed,Solar - Solar,ARP,tier_3,0,
Gurambilbarra Energy Hub,Unclassified,review,No rule matched — manual review needed,,1186.0,Other - Other,Other,365 Future Energy,tier_3,2,manual_known_phantom
Guthrie's Gap Solar Farm,Unclassified,review,No rule matched — manual review needed,,300.0,Solar PV - Fixed,Solar - Solar,Edify Energy Pty Ltd,tier_2,0,
Gympie Regional Energy Hub - Stage 1,WG,high,Woolooga corridor (Gympie/Maryborough),Gympie,350.0,Solar PV - Fixed,Solar,SolarQ Pty Ltd,tier_3,0,
Gympie Regional Energy Hub - Stage 2,WG,high,Woolooga corridor (Gympie/Maryborough),Gympie,1000.0,Storage - Battery,Other,SolarQ Pty Ltd,tier_3,2,stale_proposed_4plus_releases
Gympie Regional Energy Hub - Stage 3,WG,high,Woolooga corridor (Gympie/Maryborough),Gympie,650.0,Solar PV - Fixed,Solar,SolarQ Pty Ltd,tier_3,2,stale_proposed_4plus_releases
Halys BESS (Akaysha),WD,high,WD substation/Chinchilla corridor,Halys,1120.0,Storage - Battery,Other - Other,Halys BESS ProjectCo Pty Ltd,tier_3,1,large_tier3
Halys BESS - Iberdrola,WD,high,WD substation/Chinchilla corridor,Halys,500.0,Storage - Battery,Other - Other,IBERDROLA AUSTRALIA DEVELOPMENT PTY LIMITED,tier_1,0,
Halys BESS - Iberdrola -  KCI,WD,high,WD substation/Chinchilla corridor,Halys,500.0,Storage - Battery,Other - Other,Iberdrola Australia Development Pty,tier_1,0,
Halys Hybrid Facility - BESS,WD,high,WD substation/Chinchilla corridor,Halys,750.0,Storage - Battery,Other - Other,Elements Green Australia Pty Ltd,tier_2,0,
Halys Hybrid Facility - Solar,WD,high,WD substation/Chinchilla corridor,Halys,750.0,Solar PV - Fixed,Solar - Solar,Elements Green Australia Pty Ltd,tier_2,0,
Halys to Chinchilla DCA Battery - KCI,WD,high,WD substation/Chinchilla corridor,Chinchilla,150.0,Storage - Battery,Other - Other, UGL Pty Ltd,tier_3,0,
Halys to Chinchilla Dedicated Connection Asset (DCA): Battery,WD,high,WD substation/Chinchilla corridor,Chinchilla,150.0,,Other,UGL Pty Ltd ,tier_3,0,
Hamilton Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Hamilton Solar,57.5,Solar PV - Single axis tracking,Solar,Hamilton Solar Farm Pty Ltd,tier_3,0,
Harlin Solar Farm,Unclassified,review,No rule matched — manual review needed,,800.0,,Solar,Harlin Solar Pty Ltd,tier_3,2,stale_proposed_4plus_releases
Harrami Wind Farm,Unclassified,review,No rule matched — manual review needed,,800.0,Wind Turbine - Onshore,Wind - Wind,Mainstream,tier_1,0,
Haughton BESS,FNQ,high,FNQ corridor (Townsville and north),Haughton,200.0,Storage - Battery,Other - Other,Pacific Hydro Haughton Solar Farm Pty Ltd,tier_3,2,stale_proposed_4plus_releases
Haughton BESS - KCI,FNQ,high,FNQ corridor (Townsville and north),Haughton,200.0,Storage - Battery,Other - Other,Pacific Hydro Australia Developments Pty Ltd,tier_3,0,
Haughton Solar Farm - Stage 2,FNQ,high,FNQ corridor (Townsville and north),Haughton,250.0,,Other,Pacific Hydro Australia Pty Ltd,tier_3,0,
Haughton Solar Farm Stage 1,FNQ,high,FNQ corridor (Townsville and north),Haughton,132.6,Solar PV - Single axis tracking,Solar - Solar,Pacific Hydro Haughton Solar Farm Pty Ltd,tier_3,0,
Haughton Solar Farm Stage 2,FNQ,high,FNQ corridor (Townsville and north),Haughton,300.0,Solar PV - Fixed,Other - Other,Pacific Hydro Australia Pty Ltd,tier_3,0,
Hayman Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Hayman Solar,57.75,Solar PV - Single axis tracking,Solar,The Hayman Solar Farm Trust,tier_3,0,
Hazeldean BESS - Storage - KCI,Unclassified,review,No rule matched — manual review needed,,1100.0,Storage - Battery,Other - Other,Enervest Pty Ltd,tier_3,1,large_tier3
Herries Range Wind Farm,SD,medium,SD region (Millmerran/Inglewood corridor),Herries Range,1000.0,Wind Turbine - Onshore,Wind - Wind,Acciona Energy Global Australia,tier_1,0,
High Road,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),High Road,84.60000000000001,Wind Turbine - Onshore,Wind,Ratch Australia,tier_2,2,stale_proposed_4plus_releases
Hookey Creek Hybrid - Solar And BESs - KCI,Unclassified,review,No rule matched — manual review needed,,200.0,Storage - Battery,Solar - Solar,Zen Energy Future Pty Ltd,tier_3,0,
Hopeland BESS,WD,high,WD substation/Chinchilla corridor,Hopeland,230.4,Storage - Battery,Other - Other,Pacific Partnerships,tier_2,0,
Hopeland Solar Farm,WD,high,WD substation/Chinchilla corridor,Hopeland,327.6,Solar PV - Fixed,Solar - Solar,Hopeland Solar Farm Pty Ltd as trustee for the Hopeland Solar Farm Trust,tier_3,0,
Hopeland Solar Farm (Ulinda Park),WD,high,WD substation/Chinchilla corridor,Hopeland,2480.0,Solar PV - Fixed,Solar,Renewable Energy Partners,tier_3,2,mega_non_tier1
Hughenden Sun Farm,FNQ,high,FNQ corridor (Townsville and north),Hughenden,20.97,Solar PV - Single axis tracking,Solar,Hughenden Solar Pty Ltd as Trustee for Hughenden Solar Trust,tier_3,0,
Hughes Road BESS,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Hughes Road,200.0,Storage - Battery,Other - Other,BayWA r.e Projects Australia Pty Ltd,tier_2,0,
ISIS Central Sugar Mill Co-generation Plant,WG,medium,Wide Bay region (judgement call),ISIS Central,25.0,Turbine - Steam Sub Critical,Bagasse,SUSTAINABLE ENERGY INFRASTRUCTURE ,tier_3,0,
Inkerman Mill,FNQ,high,FNQ corridor (Townsville and north),Inkerman,10.0,Turbine - Steam Sub Critical,Bagasse,Wilmar Sugar Australia Limited,tier_3,0,
Innes Park Solar Farm,WG,medium,Wide Bay region (judgement call),Innes Park,24.0,Solar PV - Single axis tracking,Solar,Enerparc Australia Pty Ltd,tier_3,2,stale_proposed_4plus_releases
Invicta Mill,FNQ,high,FNQ corridor (Townsville and north),Invicta,38.8,Turbine - Steam Sub Critical,Bagasse,Haughton Sugar Company Pty Limited,tier_1,0,
Ipswich Regional Energy Hub - Solar,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Ipswich,1000.0,Solar PV - Fixed,Solar,SolarQ Pty Ltd,tier_3,1,large_tier3
Ipswich Regional Energy Hub - Storage,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Ipswich,1000.0,Storage - Battery,Other,SolarQ Pty Ltd,tier_3,1,large_tier3
Iron Leaf Wind Farm,TG,high,Tarong corridor (Tarong PS/Kingaroy),Iron Leaf,900.0,,Wind,RES Australia Pty Ltd,tier_1,0,
Ironbark Power Station 20MW Expansion,Unclassified,review,No rule matched — manual review needed,,20.0,Turbine - Other,Other - Other,Carbon Logica Pty Ltd,tier_3,0,
Isaac Wind Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Isaac Wind,1064.0,,Wind Turbine,Squadron Energy Services Pty Ltd,tier_1,0,
Isaac Wind Farm - KCI,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Isaac Wind,381.0,Wind Turbine - Onshore,Wind - Wind, Isaac Wind and Solar Energy Pty Ltd,tier_3,0,
Jackson North BESS,Unclassified,review,No rule matched — manual review needed,,200.0,Storage - Battery,Other - Other,Equis Energy (Australia) Projects (Ngumi 6) Pty Ltd as trustee for the Equis Energy(Australia) Ngumi 6 Asset Trust,tier_3,0,
Kaban Green Power Hub - BESS,FNQ,high,FNQ corridor (Townsville and north),Kaban,100.0,Storage - Battery,Other,Neoen,tier_1,0,
Kaban Green Power Hub - Wind Farm,FNQ,high,FNQ corridor (Townsville and north),Kaban,156.8,Wind Turbine - Onshore,Wind,Kaban Wind Farm Pty Ltd as trustee for  Kaban Wind Farm Trust,tier_3,0,
Kaban Wind Farm,FNQ,high,FNQ corridor (Townsville and north),Kaban,156.8,Wind Turbine - Onshore,Wind,Kaban Wind Farm Trust,tier_3,0,
Kalamia Mill,FNQ,high,FNQ corridor (Townsville and north),Kalamia,9.0,Turbine - Steam Sub Critical,Bagasse,Wilmar Sugar Australia Limited,tier_3,0,
Kaloya Moa Standalone BESS,Unclassified,review,No rule matched — manual review needed,,138.6,Storage - Battery,Other - Other,Samsung C&T Renewable Energy Australia Pty Ltd,tier_3,0,
Karara,SD,high,Southern Downs corridor (Karara/Warwick/Bulli Creek),Karara,102.6,Wind Turbine - Onshore,Wind,CLEANCO,tier_1,0,
Karara BESS - KCI,SD,high,Southern Downs corridor (Karara/Warwick/Bulli Creek),Karara,400.0,Storage - Battery,Other - Other,ACCIONA Energy,tier_1,0,
Karara Wind Farm,SD,high,Southern Downs corridor (Karara/Warwick/Bulli Creek),Karara,102.6,Wind Turbine - Onshore,Wind - Wind,CLEANCO,tier_1,0,
Kareeya,FNQ,high,FNQ corridor (Townsville and north),Kareeya,21.6,Hydro - Run of River,Water,CleanCo Queensland Limited,tier_1,0,
Kareeya 5,FNQ,high,FNQ corridor (Townsville and north),Kareeya,7.0,Hydro - Dam,Water,CleanCo Queensland Limited,tier_1,0,
Kariboe Wind Farm,Unclassified,review,No rule matched — manual review needed,,1020.0,Wind Turbine - Onshore,Wind - Wind,Kariboe Wind Farm Pty Ltd,tier_3,2,stale_proposed_4plus_releases
Karma Wind Farm - KCI,Unclassified,review,No rule matched — manual review needed,,966.0,Wind Turbine - Onshore,Wind - Wind,NEMMCOCI Karma Pty Ltd as trustee for the CI Karma Trust,tier_3,1,large_tier3
Kelsey Creek Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Kelsey Creek,50.0,Solar PV - Fixed,Solar,BayWa r.e. Solar Project Pty Ltd,tier_2,2,stale_proposed_4plus_releases
Kelsey Creek Solar Farm_SS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Kelsey Creek,50.0,Solar PV - Fixed,Solar - Solar,tetrisenergy_nr,tier_3,1,owner_junk:_NR$; owner_junk:^[a-z]
Kennedy Energy Park - Phase 1 - Solar,FNQ,high,FNQ corridor (Townsville and north),Kennedy Energy,16.5,Solar PV - Single axis tracking,Solar,Windlab / Eurus,tier_2,0,
Kennedy Energy Park - Phase 1 - Storage,FNQ,high,FNQ corridor (Townsville and north),Kennedy Energy,2.0,Storage - Battery,Other,Windlab/Eurus,tier_2,0,
Kennedy Energy Park - Phase 1 - Wind,FNQ,high,FNQ corridor (Townsville and north),Kennedy Energy,43.2,Wind Turbine - Onshore,Wind,Windlab / Eurus,tier_2,0,
Kennedy Energy Park - Phase 2 - Wind,FNQ,high,FNQ corridor (Townsville and north),Kennedy Energy,650.0,Wind Turbine - Onshore,Wind,Windlab Developments,tier_2,2,stale_proposed_4plus_releases
Kensington Solar Farm,Unclassified,review,No rule matched — manual review needed,,42.0,Solar PV - Single axis tracking,Solar,DDN Green,tier_3,0,
Kentucky Solar Farm,Unclassified,review,No rule matched — manual review needed,,,Confidential - Confidential,Confidential,CONFIDENTIAL,tier_3,0,
Kidston Pumped Storage Hydro Project 250MW,FNQ,high,FNQ corridor (Townsville and north),Kidston,250.0,Storage - Pumped hydro,Water,Genex Power Ltd,tier_1,0,
Kidston Solar Project Phase One 50MW,FNQ,high,FNQ corridor (Townsville and north),Kidston,50.0,Solar PV - Fixed,Solar,Genex Power Limited,tier_1,0,
Kidston Solar Project Phase Two 270MW,FNQ,high,FNQ corridor (Townsville and north),Kidston,270.0,Solar PV - Fixed,Solar,Genex Power Limited,tier_1,1,stale_proposed_4plus_releases
Kidston Stage 3 Wind Project,FNQ,high,FNQ corridor (Townsville and north),Kidston,258.0,Wind Turbine - Onshore,Wind - Wind,Genex Power Limited,tier_1,1,stale_proposed_4plus_releases
Kidston Wind Farm,FNQ,high,FNQ corridor (Townsville and north),Kidston,204.0,,Wind Turbine, Kidston (Wind Farm) Pty Ltd,tier_3,0,
Kidston Wind Farm - KCI,FNQ,high,FNQ corridor (Townsville and north),Kidston,204.0,Wind Turbine - Onshore,Wind - Wind,Kidston (Wind Farm) Pty Ltd,tier_3,0,
Kingaroy Solar Farm,TG,high,Tarong corridor (Tarong PS/Kingaroy),Kingaroy,40.0,Solar PV - Single axis tracking,Solar - Solar,Kingaroy PropertyCo Pty Ltd as trustee for Kingaroy Property Trust,tier_3,0,
Koberinga Solar Farm,Unclassified,review,No rule matched — manual review needed,,55.0,Solar PV - Fixed,Solar,ESCO Pacific,tier_2,2,stale_proposed_4plus_releases
Kogan Battery Energy Storage System (BESS),WD,high,WD substation/Chinchilla corridor,Kogan Battery,200.0,,Other,CS Energy Ltd,tier_1,0,
Kogan Creek,WD,high,WD substation/Chinchilla corridor,Kogan Creek,744.0,Turbine - Steam Super Critical,Black Coal,Kogan Creek Power Station Pty Ltd,tier_3,1,large_tier3
Kumbarilla Renewable Energy Park (K-REP),WD,medium,Western Downs region (judgement call),Kumbarilla,96.8,Solar PV - Single axis tracking,Solar,Elecseed Pty Ltd,tier_3,2,stale_proposed_4plus_releases
Lake Awoonga (Site B) Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Lake Awoonga,128.0,Solar PV - Fixed,Solar,Total Eren,tier_3,0,
Lake Somerset,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Lake Somerset,4.3,Hydro - Dam,Water,Seqwater,tier_3,0,
Lakeland 2,FNQ,high,FNQ corridor (Townsville and north),Lakeland,20.0,Solar PV - Fixed,Solar,Lakeland Solar and Storage Pty Ltd,tier_3,2,stale_proposed_4plus_releases
Lakeland Solar and Storage,FNQ,high,FNQ corridor (Townsville and north),Lakeland,12.504,Solar PV - Fixed,Solar,Lakeland Solar and Storage Pty Limited,tier_3,0,
Lakeland Wind Farm,FNQ,high,FNQ corridor (Townsville and north),Lakeland,73.1,Wind Turbine - Onshore,Wind,Lakeland Wind Farm Pty Ltd,tier_3,2,stale_proposed_4plus_releases
Latitude Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Latitude,5.0,Solar PV - Fixed,Solar - Solar,Kentucky Solar Pty Ltd,tier_3,2,stale_proposed_4plus_releases
Lilyvale BESS - KCI,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Lilyvale,440.0,Storage - Battery,Other - Other,Acen Australia,tier_2,0,
Lilyvale Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Lilyvale,118.4,Solar PV - Single axis tracking,Solar,Lilyvale Asset Co Pty Ltd ATF Lilyvale Asset Trust,tier_3,0,
Llewellyn Motors,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Llewellyn,0.34,Solar PV - Fixed,Solar - Solar,Llewellyn Land Pty Ltd ATF Llewellyn Land Unit Trust,tier_3,0,
Lockyer BESS - KCI,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Lockyer,750.0,Storage - Battery,Other - Other, Lockyer Energy Management Pty,tier_3,1,large_tier3
Lockyer Energy Management BESS and Generation Facility,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Lockyer,750.0,Storage - Battery,Other,Lockyer Energy Management Pty,tier_3,1,large_tier3
Lockyer Valley Energy Project,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Lockyer,400.0,Storage - Battery,Solar - Solar,Lockyer Energy Management Pty Ltd,tier_3,0,
Lockyer Valley Energy Project - Phase 1,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Lockyer,801.52,Storage - Battery,Solar,Quinbrook Asset Management as Trustee for The Australian Clean Power Trust,tier_1,1,stale_proposed_4plus_releases
Longreach Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Longreach,15.0,Solar PV - Fixed,Solar - Solar,Longreach Asset Company,tier_3,0,
Lotus Creek Wind Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Lotus Creek,341.0,Wind Turbine - Onshore,Wind,CS ENERGY,tier_1,0,
Lower Wonga BESS,WG,high,Woolooga corridor (Gympie/Maryborough),Lower Wonga,200.0,Storage - Battery,Other - Other,Equis Energy (Australia) Projects (Ngumi 7) Pty Ltd as trustee for the Equis Energy(Australia) Ngumi 7 Asset Trust,tier_3,0,
Lower Wonga Solar Farm (LightsourceBP),WG,high,Woolooga corridor (Gympie/Maryborough),Lower Wonga,353.0,Solar PV - Single axis tracking,Solar - Solar,Lower Wonga Solar Farm Pty Ltd,tier_3,0,
